time; Total ; Tourist ; Business ;Others
2006_Jan_;8,515;3,574;1,490;3,451
Feb_;5,986;2,971;1,216;1,799
Mar_;7,613;4,047;1,441;2,125
Apr_;10,491;6,682;1,380;2,429
May_;9,663;5,764;1,620;2,279
Jun_;7,860;4,722;1,339;1,799
Jul_;8,295;4,617;1,409;2,269
Aug_;7,539;3,772;1,254;2,513
Sep_;7,600;4,025;1,477;2,098
Oct_;8,387;4,335;1,993;2,059
Nov_;7,197;3,546;1,733;1,918
Dec_;6,384;4,029;1,000;1,355
2007_Jan_;7,586;2,543;1,712;3,331
Feb_;5,693;2,800;1,358;1,535
Mar_;7,721;4,262;1,512;1,947
Apr_;11,284;7,212;1,368;2,704
May_;9,267;4,990;1,823;2,454
Jun_;6,922;3,696;1,492;1,734
Jul_;7,344;3,683;1,718;1,943
Aug_;6,792;3,179;1,250;2,363
Sep_;7,029;3,276;1,857;1,896
Oct_;7,616;3,676;2,064;1,876
Nov_;6,137;2,704;1,772;1,661
Dec_;6,141;3,950;1,004;1,187
2008_Jan_;7,350;2,234;1,732;3,384
Feb_;5,170;2,474;1,294;1,402
Mar_;9,041;5,489;1,643;1,909
Apr_;9,419;6,106;1,369;1,944
May_;8,380;4,735;1,688;1,957
Jun_;6,149;3,128;1,481;1,540
Jul_;6,283;2,971;1,522;1,790
Aug_;6,227;2,651;1,293;2,283
Sep_;5,935;2,585;1,557;1,793
Oct_;6,493;3,593;1,519;1,381
Nov_;5,885;2,664;1,575;1,646
Dec_;5,845;3,885;853;1,107
2009_Jan_;6,655;2,009;1,253;3,393
Feb_;4,057;1,769;1,073;1,215
Mar_;6,345;3,540;1,098;1,707
Apr_;9,276;6,591;860;1,825
May_;6,743;3,661;1,043;2,039
Jun_;4,822;2,420;911;1,491
Jul_;5,193;2,892;1,007;1,294
Aug_;5,804;2,651;1,032;2,121
Sep_;5,036;2,384;1,056;1,596
Oct_;6,138;3,394;1,447;1,297
Nov_;5,551;2,659;1,370;1,522
Dec_;5,865;4,137;690;1,038
2010_Jan_;6,532;1,724;1,365;3,443
Feb_;4,505;2,099;1,138;1,268
Mar_;7,907;5,204;1,166;1,537
Apr_;8,575;5,574;1,028;1,973
May_;8,546;5,257;1,322;1,967
Jun_;5,394;3,049;1,082;1,263
Jul_;5,238;2,868;1,067;1,303
Aug_;5,517;2,582;1,087;1,848
Sep_;6,133;3,246;1,232;1,655
Oct_;6,797;3,992;1,491;1,314
Nov_;5,894;3,156;1,438;1,300
Dec_;6,339;4,547;749;1,043
2011_Jan_;6,612;2,129;1,342;3,141
Feb_;4,643;2,536;1,043;1,064
Mar_;4,532;2,364;809;1,359
Apr_;5,706;2,409;660;2,637
May_;4,989;2,127;969;1,893
Jun_;3,993;1,851;854;1,288
Jul_;4,805;2,124;1,202;1,479
Aug_;5,364;2,344;1,059;1,961
Sep_;5,222;2,235;1,350;1,637
Oct_;6,153;3,159;1,433;1,561
Nov_;5,293;2,639;1,368;1,286
Dec_;5,787;3,915;778;1,094
2012_Jan_;6,924;2,116;1,438;3,370
Feb_;4,409;2,094;1,130;1,185
Mar_;6,928;3,998;1,365;1,565
Apr_;11,059;7,876;1,160;2,023
May_;8,414;5,199;1,434;1,781
Jun_;6,263;3,804;1,147;1,312
Jul_;5,991;3,125;1,417;1,449
Aug_;5,871;2,776;1,020;2,075
Sep_;6,714;3,591;1,362;1,761
Oct_;8,292;4,922;1,637;1,733
Nov_;6,775;3,848;1,519;1,408
Dec_;7,397;5,386;841;1,170
2013_Jan_;7,501;2,450;1,601;3,450
Feb_;5,049;2,735;1,142;1,172
Mar_;12,177;8,797;1,486;1,894
Apr_;12,943;9,477;1,280;2,186
May_;11,256;7,846;1,608;1,802
Jun_;7,441;4,296;1,450;1,695
Jul_;6,739;3,743;1,355;1,641
Aug_;6,725;3,384;1,114;2,227
Sep_;7,886;4,487;1,556;1,843
Oct_;10,877;7,570;1,744;1,563
Nov_;8,644;5,131;1,955;1,558
Dec_;11,113;8,804;966;1,343
2014_Jan_;9,160;3,639;1,890;3,631
Feb_;7,495;4,435;1,481;1,579
Mar_;12,709;9,095;1,713;1,901
Apr_;29,721;25,713;1,753;2,255
May_;19,313;15,190;1,843;2,280
Jun_;13,424;9,057;1,807;2,560
Jul_;11,033;7,480;1,711;1,842
Aug_;11,517;7,166;1,604;2,747
Sep_;12,663;8,520;1,937;2,206
Oct_;19,426;15,583;2,011;1,832
Nov_;15,950;11,939;2,057;1,954
Dec_;21,793;18,744;1,198;1,851
2015_Jan_;14,428;8,109;1,930;4,389
Feb_;14,190;10,756;1,636;1,798
Mar_;26,786;22,127;2,050;2,609
Apr_;36,673;31,974;1,856;2,843
May_;27,847;22,904;2,208;2,735
Jun_;18,619;13,979;1,851;2,789
Jul_;16,374;12,013;1,883;2,478
Aug_;14,794;9,850;1,674;3,270
Sep_;15,843;11,305;2,115;2,423
Oct_;25,685;20,437;2,391;2,857
Nov_;24,443;19,886;2,462;2,095
Dec_;32,679;29,455;1,256;1,968
2016_Jan_;18,848;11,533;2,432;4,883
Feb_;18,509;14,598;1,723;2,188
Mar_;37,525;32,738;1,877;2,910
Apr_;41,949;36,825;1,834;3,290
May_;36,871;31,267;2,337;3,267
Jun_;27,621;22,704;1,990;2,927
Jul_;20,306;15,501;2,052;2,753
Aug_;17,385;11,877;1,803;3,705
Sep_;20,817;15,134;2,244;3,439
Oct_;36,708;30,728;3,009;2,971
Nov_;30,004;24,634;2,597;2,773
Dec_;41,318;37,641;1,419;2,258
2017_Jan_;26,386;17,799;2,311;6,276
Feb_;25,795;21,285;1,931;2,579
Mar_;34,860;28,879;2,271;3,710
Apr_;62,022;56,068;2,221;3,733
May_;43,994;37,362;2,706;3,926
Jun_;31,450;26,244;1,874;3,332
Jul_;24,463;18,807;2,417;3,239
Aug_;21,311;14,892;1,805;4,614
Sep_;22,473;16,468;2,315;3,690
Oct_;42,097;35,566;2,825;3,706
Nov_;40,597;35,213;2,358;3,026
Dec_;48,673;44,498;1,348;2,827
2018_Jan_;31,706;21,177;2,455;8,074
Feb_;27,499;23,468;1,745;2,286
Mar_;56,103;51,014;2,184;2,905
Apr_;63,893;57,420;2,155;4,318
May_;59,016;52,357;2,435;4,224
Jun_;37,354;31,309;2,096;3,949
Jul_;28,965;22,730;2,352;3,883
Aug_;24,714;17,331;1,843;5,540
Sep_;24,779;18,198;2,279;4,302
Oct_;47,316;40,111;2,866;4,339
Nov_;46,965;40,629;2,851;3,485
Dec_;55,666;50,660;1,616;3,390
2019_Jan_;35,987;24,727;2,726;8,534
Feb_;35,170;29,567;2,063;3,540
Mar_;48,277;41,263;2,492;4,522
Apr_;69,266;62,010;2,215;5,041
May_;59,578;50,888;2,864;5,826
Jun_;46,842;40,168;2,348;4,326
Jul_;37,771;30,686;2,499;4,586
Aug_;31,470;22,733;1,771;6,966
Sep_;37,758;30,576;2,565;4,617
Oct_;64,690;57,161;2,915;4,614
Nov_;64,763;57,552;2,910;4,301
Dec_;81,542;75,778;2,083;3,681
2020_Jan_;53,588;40,371;2,754;10,463
Feb_;39,728;34,322;1,690;3,716
Mar_;10,930;7,771;477;2,682
Apr_;47;34;1;12
May_;6;3;0;3
Jun_;48;26;0;22
Jul_;51;14;1;36
Aug_;132;13;1;118
Sep_;134;17;6;111
Oct_;423;18;19;386
Nov_;1,704;44;88;1,572
Dec_;2,319;35;92;2,192